asof_date,ticker,signal_name,value,confidence,posts_analyzed,calculation_method,search_terms
2024-02-27,SQNXF,SENTIMENT_RDDT,0.5342298622666138,0.4,0,fallback_no_data,"sqnxf, square enix, squareenix"
2024-02-27,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2024-02-27,KNMCY,SENTIMENT_RDDT,0.5987283962081277,0.36,0,fallback_no_data,"knmcy, konami, konami group"
2024-02-27,NEXOY,SENTIMENT_RDDT,-0.45917541330819367,0.1,0,fallback_no_data,"nexoy, nexon, nexon co"
2024-02-28,EA,SENTIMENT_RDDT,0.383640357757831,0.9,0,fallback_no_data,"ea, electronic arts, ea games"
2024-02-28,TTWO,SENTIMENT_RDDT,0.6995378205219663,0.24,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2024-02-28,NTES,SENTIMENT_RDDT,0.7480287437687477,0.06,0,fallback_no_data,"ntes, netease"
2024-02-28,RBLX,SENTIMENT_RDDT,0.8398234958519296,0.34,0,fallback_no_data,"rblx, roblox"
2024-02-28,MSFT,SENTIMENT_RDDT,0.5475634473446345,0.46,0,fallback_no_data,"msft, microsoft"
2024-02-28,SONY,SENTIMENT_RDDT,0.197891761800839,0.52,0,fallback_no_data,"sony, sony"
2024-02-28,WBD,SENTIMENT_RDDT,0.24330308488769986,0.52,0,fallback_no_data,"wbd, warner bros"
2024-02-28,NCBDY,SENTIMENT_RDDT,-0.5728446375476393,0.14,0,fallback_no_data,"ncbdy, cd projekt"
2024-02-28,GDEV,SENTIMENT_RDDT,0.2693336263298988,0.02,0,fallback_no_data,"gdev, gaijin"
2024-02-28,OTGLF,SENTIMENT_RDDT,0.15994031912401296,0.06,0,fallback_no_data,"otglf, outlook games"
2024-02-28,SNAL,SENTIMENT_RDDT,0.6696104273223419,0.08,0,fallback_no_data,"snal, snail games"
2024-02-28,GRVY,SENTIMENT_RDDT,0.723565206002013,0.34,0,fallback_no_data,"grvy, gravity games"
2024-02-28,SQNXF,SENTIMENT_RDDT,0.6164841246697899,0.44,0,fallback_no_data,"sqnxf, square enix, squareenix"
2024-02-28,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2024-02-28,KNMCY,SENTIMENT_RDDT,0.6527526840052829,0.38,0,fallback_no_data,"knmcy, konami, konami group"
2024-02-28,NEXOY,SENTIMENT_RDDT,-0.4628545628048304,0.08,0,fallback_no_data,"nexoy, nexon, nexon co"
2024-02-29,EA,SENTIMENT_RDDT,0.3928194312061873,0.98,0,fallback_no_data,"ea, electronic arts, ea games"
2024-02-29,TTWO,SENTIMENT_RDDT,0.6995378206111049,0.24,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2024-02-29,NTES,SENTIMENT_RDDT,0.7476707512884614,0.04,0,fallback_no_data,"ntes, netease"
2024-02-29,RBLX,SENTIMENT_RDDT,0.8406568383953655,0.32,0,fallback_no_data,"rblx, roblox"
2024-02-29,MSFT,SENTIMENT_RDDT,0.5383960083479722,0.48,0,fallback_no_data,"msft, microsoft"
2024-02-29,SONY,SENTIMENT_RDDT,0.19804479832907698,0.52,0,fallback_no_data,"sony, sony"
2024-02-29,WBD,SENTIMENT_RDDT,0.25299719953126815,0.54,0,fallback_no_data,"wbd, warner bros"
2024-02-29,NCBDY,SENTIMENT_RDDT,-0.5728446400930652,0.14,0,fallback_no_data,"ncbdy, cd projekt"
2024-02-29,GDEV,SENTIMENT_RDDT,0.2693336263298988,0.02,0,fallback_no_data,"gdev, gaijin"
2024-02-29,OTGLF,SENTIMENT_RDDT,0.15994031913602613,0.06,0,fallback_no_data,"otglf, outlook games"
2024-02-29,SNAL,SENTIMENT_RDDT,0.6696104276359871,0.08,0,fallback_no_data,"snal, snail games"
2024-02-29,GRVY,SENTIMENT_RDDT,0.723565205753157,0.34,0,fallback_no_data,"grvy, gravity games"
2024-02-29,SQNXF,SENTIMENT_RDDT,0.6201825151185084,0.46,0,fallback_no_data,"sqnxf, square enix, squareenix"
2024-02-29,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2024-02-29,KNMCY,SENTIMENT_RDDT,0.6607350080829814,0.34,0,fallback_no_data,"knmcy, konami, konami group"
2024-02-29,NEXOY,SENTIMENT_RDDT,-0.4901424667556753,0.06,0,fallback_no_data,"nexoy, nexon, nexon co"
2024-03-01,EA,SENTIMENT_RDDT,0.3918136865321149,0.96,0,fallback_no_data,"ea, electronic arts, ea games"
2024-03-01,TTWO,SENTIMENT_RDDT,0.7139853358030875,0.22,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2024-03-01,NTES,SENTIMENT_RDDT,0.7476707513343527,0.04,0,fallback_no_data,"ntes, netease"
2024-03-01,RBLX,SENTIMENT_RDDT,0.8406568382122919,0.32,0,fallback_no_data,"rblx, roblox"
2024-03-01,MSFT,SENTIMENT_RDDT,0.5712434691608832,0.5,0,fallback_no_data,"msft, microsoft"
2024-03-01,SONY,SENTIMENT_RDDT,0.19804479876041087,0.52,0,fallback_no_data,"sony, sony"
2024-03-01,WBD,SENTIMENT_RDDT,0.25299720014226396,0.54,0,fallback_no_data,"wbd, warner bros"
2024-03-01,NCBDY,SENTIMENT_RDDT,-0.5728446428319782,0.14,0,fallback_no_data,"ncbdy, cd projekt"
2024-03-01,GDEV,SENTIMENT_RDDT,0.2693336263298988,0.02,0,fallback_no_data,"gdev, gaijin"
2024-03-01,OTGLF,SENTIMENT_RDDT,0.1599403191490171,0.06,0,fallback_no_data,"otglf, outlook games"
2024-03-01,SNAL,SENTIMENT_RDDT,0.6696104279845024,0.08,0,fallback_no_data,"snal, snail games"
2024-03-01,GRVY,SENTIMENT_RDDT,0.7218078369851083,0.32,0,fallback_no_data,"grvy, gravity games"
2024-03-01,SQNXF,SENTIMENT_RDDT,0.6201825136324608,0.46,0,fallback_no_data,"sqnxf, square enix, squareenix"
2024-03-01,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2024-03-01,KNMCY,SENTIMENT_RDDT,0.6607350066718601,0.34,0,fallback_no_data,"knmcy, konami, konami group"
2024-03-01,NEXOY,SENTIMENT_RDDT,-0.49014246742147494,0.06,0,fallback_no_data,"nexoy, nexon, nexon co"
2024-03-02,EA,SENTIMENT_RDDT,0.39181368740982087,0.96,0,fallback_no_data,"ea, electronic arts, ea games"
2024-03-02,TTWO,SENTIMENT_RDDT,0.7063063078169921,0.2,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2024-03-02,NTES,SENTIMENT_RDDT,0.7476707513828811,0.04,0,fallback_no_data,"ntes, netease"
2024-03-02,RBLX,SENTIMENT_RDDT,0.8399782348338032,0.34,0,fallback_no_data,"rblx, roblox"
2024-03-02,MSFT,SENTIMENT_RDDT,0.57197451583148,0.52,0,fallback_no_data,"msft, microsoft"
2024-03-02,SONY,SENTIMENT_RDDT,0.19699653233999637,0.5,0,fallback_no_data,"sony, sony"
2024-03-02,WBD,SENTIMENT_RDDT,0.2512857089309267,0.52,0,fallback_no_data,"wbd, warner bros"
2024-03-02,NCBDY,SENTIMENT_RDDT,-0.57284464535279,0.14,0,fallback_no_data,"ncbdy, cd projekt"
2024-03-02,GDEV,SENTIMENT_RDDT,0.2693336263298988,0.02,0,fallback_no_data,"gdev, gaijin"
2024-03-02,OTGLF,SENTIMENT_RDDT,0.159940319160857,0.06,0,fallback_no_data,"otglf, outlook games"
2024-03-02,SNAL,SENTIMENT_RDDT,0.6696104282928137,0.08,0,fallback_no_data,"snal, snail games"
2024-03-02,GRVY,SENTIMENT_RDDT,0.7233771745514598,0.36,0,fallback_no_data,"grvy, gravity games"
2024-03-02,SQNXF,SENTIMENT_RDDT,0.6149862316537487,0.48,0,fallback_no_data,"sqnxf, square enix, squareenix"
2024-03-02,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2024-03-02,KNMCY,SENTIMENT_RDDT,0.6616151445804326,0.36,0,fallback_no_data,"knmcy, konami, konami group"
2024-03-02,NEXOY,SENTIMENT_RDDT,-0.4901424680030562,0.06,0,fallback_no_data,"nexoy, nexon, nexon co"
2024-03-03,EA,SENTIMENT_RDDT,0.3919205281778793,1.0,0,fallback_no_data,"ea, electronic arts, ea games"
2024-03-03,TTWO,SENTIMENT_RDDT,0.7063063080040622,0.2,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2024-03-03,NTES,SENTIMENT_RDDT,0.7476707514283404,0.04,0,fallback_no_data,"ntes, netease"
2024-03-03,RBLX,SENTIMENT_RDDT,0.8353831992373691,0.4,0,fallback_no_data,"rblx, roblox"
2024-03-03,MSFT,SENTIMENT_RDDT,0.5719745153863582,0.52,0,fallback_no_data,"msft, microsoft"
2024-03-03,SONY,SENTIMENT_RDDT,0.19699653272314335,0.5,0,fallback_no_data,"sony, sony"
2024-03-03,WBD,SENTIMENT_RDDT,0.25128570945256745,0.52,0,fallback_no_data,"wbd, warner bros"
2024-03-03,NCBDY,SENTIMENT_RDDT,-0.5728446478326485,0.14,0,fallback_no_data,"ncbdy, cd projekt"
2024-03-03,GDEV,SENTIMENT_RDDT,0.2693336263298988,0.02,0,fallback_no_data,"gdev, gaijin"
2024-03-03,OTGLF,SENTIMENT_RDDT,0.15994031917254317,0.06,0,fallback_no_data,"otglf, outlook games"
2024-03-03,SNAL,SENTIMENT_RDDT,0.669610428602426,0.08,0,fallback_no_data,"snal, snail games"
2024-03-03,GRVY,SENTIMENT_RDDT,0.7237555010077972,0.4,0,fallback_no_data,"grvy, gravity games"
2024-03-03,SQNXF,SENTIMENT_RDDT,0.614986230417043,0.48,0,fallback_no_data,"sqnxf, square enix, squareenix"
2024-03-03,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2024-03-03,KNMCY,SENTIMENT_RDDT,0.6615446753914733,0.34,0,fallback_no_data,"knmcy, konami, konami group"
2024-03-03,NEXOY,SENTIMENT_RDDT,-0.49014246859274774,0.06,0,fallback_no_data,"nexoy, nexon, nexon co"
2024-03-04,EA,SENTIMENT_RDDT,0.39196331035756143,1.0,0,fallback_no_data,"ea, electronic arts, ea games"
2024-03-04,TTWO,SENTIMENT_RDDT,0.6136804260925965,0.18,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2024-03-04,NTES,SENTIMENT_RDDT,0.7476707514726706,0.04,0,fallback_no_data,"ntes, netease"
2024-03-04,RBLX,SENTIMENT_RDDT,0.8479924413568896,0.38,0,fallback_no_data,"rblx, roblox"
2024-03-04,MSFT,SENTIMENT_RDDT,0.5719745149476612,0.52,0,fallback_no_data,"msft, microsoft"
2024-03-04,SONY,SENTIMENT_RDDT,0.20397540997156227,0.52,0,fallback_no_data,"sony, sony"
2024-03-04,WBD,SENTIMENT_RDDT,0.2512857099824568,0.52,0,fallback_no_data,"wbd, warner bros"
2024-03-04,NCBDY,SENTIMENT_RDDT,-0.5728446503446759,0.14,0,fallback_no_data,"ncbdy, cd projekt"
2024-03-04,GDEV,SENTIMENT_RDDT,0.2693336263298988,0.02,0,fallback_no_data,"gdev, gaijin"
2024-03-04,OTGLF,SENTIMENT_RDDT,0.15994031918437912,0.06,0,fallback_no_data,"otglf, outlook games"
2024-03-04,SNAL,SENTIMENT_RDDT,0.6621904359616607,0.1,0,fallback_no_data,"snal, snail games"
2024-03-04,GRVY,SENTIMENT_RDDT,0.7022962006461154,0.42,0,fallback_no_data,"grvy, gravity games"
2024-03-04,SQNXF,SENTIMENT_RDDT,0.6150243515186812,0.5,0,fallback_no_data,"sqnxf, square enix, squareenix"
2024-03-04,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2024-03-04,KNMCY,SENTIMENT_RDDT,0.6615446741717782,0.34,0,fallback_no_data,"knmcy, konami, konami group"
2024-03-04,NEXOY,SENTIMENT_RDDT,-0.49014246918798077,0.06,0,fallback_no_data,"nexoy, nexon, nexon co"
2024-03-05,EA,SENTIMENT_RDDT,0.3614402016710735,1.0,0,fallback_no_data,"ea, electronic arts, ea games"
2024-03-05,TTWO,SENTIMENT_RDDT,0.5888266503435328,0.16,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2024-03-05,NTES,SENTIMENT_RDDT,0.74767075151752,0.04,0,fallback_no_data,"ntes, netease"
2024-03-05,RBLX,SENTIMENT_RDDT,0.8479924414456671,0.38,0,fallback_no_data,"rblx, roblox"
2024-03-05,MSFT,SENTIMENT_RDDT,0.571965381084746,0.5,0,fallback_no_data,"msft, microsoft"
2024-03-05,SONY,SENTIMENT_RDDT,0.22487542706725733,0.54,0,fallback_no_data,"sony, sony"
2024-03-05,WBD,SENTIMENT_RDDT,0.3686687652302571,0.6,0,fallback_no_data,"wbd, warner bros"
2024-03-05,NCBDY,SENTIMENT_RDDT,-0.5728446528224614,0.14,0,fallback_no_data,"ncbdy, cd projekt"
2024-03-05,GDEV,SENTIMENT_RDDT,0.2693336263298988,0.02,0,fallback_no_data,"gdev, gaijin"
2024-03-05,OTGLF,SENTIMENT_RDDT,0.15994031919606685,0.06,0,fallback_no_data,"otglf, outlook games"
2024-03-05,SNAL,SENTIMENT_RDDT,0.6621904364045447,0.1,0,fallback_no_data,"snal, snail games"
2024-03-05,GRVY,SENTIMENT_RDDT,0.7022962007040491,0.42,0,fallback_no_data,"grvy, gravity games"
